GAP_SIGN,GAP,OH,OL,BUY,SELL,HOLD,OToday,HToday,LToday,CToday,VToday,OPrevDay,HPrevDay,LPrevDay,CPrevDay,VPrevDay,date
1,0,0,1,1,0,0,1279,1288,1279,1286,3063325,1276.1,1280,1270.6,1279,1831797,January 2nd 2020
0,0.2954898911353032,1,0,0,1,0,1282.2,1285,1263.6,1268.5,5417080,1279,1288,1279,1286,3063325,January 3rd 2020
0,0.6700827749310245,1,0,0,1,0,1260,1261.75,1236,1240.95,5393225,1282.2,1285,1263.6,1268.5,5417080,January 6th 2020
1,1.4258479625069542,0,1,0,1,0,1258.9,1271.45,1252.35,1261,7261116,1260,1261.75,1236,1240.95,5393225,January 7th 2020
0,1.1141950832672443,0,0,1,0,0,1246.95,1260.8,1240.05,1256,5634696,1258.9,1271.45,1252.35,1261,7261116,January 8th 2020
1,0.7114624505928813,0,1,1,0,0,1265,1275.8,1263.2,1271.8,4741126,1246.95,1260.8,1240.05,1256,5634696,January 9th 2020
1,0.9578693248189385,1,0,0,0,1,1284.1,1286.85,1275.1,1281,4480016,1265,1275.8,1263.2,1271.8,4741126,January 10th 2020
1,0.13253293833320745,0,0,1,0,0,1282.7,1296.5,1276.75,1287,3707621,1284.1,1286.85,1275.1,1281,4480016,January 13th 2020
1,0.15515903801396336,1,0,1,0,0,1289,1292.4,1277.55,1288,3924129,1282.7,1296.5,1276.75,1287,3707621,January 14th 2020
0,0.1242236024844634,0,0,0,1,0,1286.4,1287.95,1274.1,1285.05,5879001,1289,1292.4,1277.55,1288,3924129,January 15th 2020
0,0.23345395120812906,0,1,0,1,0,1282.05,1291,1279.35,1287.5,3555748,1286.4,1287.95,1274.1,1285.05,5879001,January 16th 2020
0,0.44660194174757084,1,0,0,0,1,1281.75,1284.9,1271.9,1277.5,8436045,1282.05,1291,1279.35,1287.5,3555748,January 17th 2020
1,2.0960263631835008,1,0,0,1,0,1304.85,1304.85,1252.5,1257.4,10886766,1281.75,1284.9,1271.9,1277.5,8436045,January 20th 2020
0,0.5885159853666333,1,0,0,1,0,1250,1250,1238.45,1244.9,7463265,1304.85,1304.85,1252.5,1257.4,10886766,January 21st 2020
1,0.2523937342253757,0,0,0,1,0,1248.05,1254.9,1234.55,1241.85,9152837,1250,1250,1238.45,1244.9,7463265,January 22nd 2020
0,0.14897129282923638,0,0,1,0,0,1240,1246.85,1231.7,1245.35,5745582,1248.05,1254.9,1234.55,1241.85,9152837,January 23rd 2020
1,0.05216693418941265,0,0,1,0,0,1246,1253.95,1239.25,1245,5901612,1240,1246.85,1231.7,1245.35,5745582,January 24th 2020
0,0.8032128514056214,1,0,0,0,1,1235,1235,1211.95,1213.25,9385231,1246,1253.95,1239.25,1245,5901612,January 27th 2020
1,0.4553659337052762,0,0,0,1,0,1218.8,1227.75,1213.25,1224,6654995,1235,1235,1211.95,1213.25,9385231,January 28th 2020
1,0.10609646617154578,0,0,1,0,0,1225.3,1242,1222.45,1235.05,6879689,1218.8,1227.75,1213.25,1224,6654995,January 29th 2020
1,0.31478267888132017,1,0,0,1,0,1238.95,1238.95,1217.2,1227.9,6019254,1225.3,1242,1222.45,1235.05,6879689,January 30th 2020
1,0.2882780462056922,0,0,0,0,1,1231.45,1237.8,1220.55,1224.25,5574763,1238.95,1238.95,1217.2,1227.9,6019254,January 31st 2020
0,0.3471513171329432,1,0,1,0,0,1220,1227.7,1191.35,1192.5,4900630,1231.45,1237.8,1220.55,1224.25,5574763,February 1st 2020
1,0.3759398496240629,1,0,1,0,0,1197,1197.85,1177.8,1194,6520654,1220,1227.7,1191.35,1192.5,4900630,February 3rd 2020
1,0.33388981636059967,0,1,1,0,0,1198,1233.8,1198,1229,10422025,1197,1197.85,1177.8,1194,6520654,February 4th 2020
1,0.47777147947203336,0,1,0,0,1,1234.9,1248,1227.3,1246,8993928,1198,1233.8,1198,1229,10422025,February 5th 2020
0,0.10834670947029723,0,0,0,0,1,1244.65,1248.7,1237.2,1239.95,5862605,1234.9,1248,1227.3,1246,8993928,February 6th 2020
1,0.4855537720706238,1,0,0,0,1,1246,1247,1231.6,1240,3378655,1244.65,1248.7,1237.2,1239.95,5862605,February 7th 2020
1,0.23733858964560817,1,0,1,0,0,1242.95,1242.95,1226.05,1240.95,4597615,1246,1247,1231.6,1240,3378655,February 10th 2020
1,0.18901311027104128,0,1,0,1,0,1243.3,1255,1238.25,1239.9,5788928,1242.95,1242.95,1226.05,1240.95,4597615,February 11th 2020
1,0.42563443623513386,0,1,0,0,1,1245.2,1252.8,1244.3,1249,3138876,1243.3,1255,1238.25,1239.9,5788928,February 12th 2020
1,0.8651480276212431,1,0,0,1,0,1259.9,1259.9,1233.7,1239.5,4476725,1245.2,1252.8,1244.3,1249,3138876,February 13th 2020
1,0.29761904761904656,0,0,0,1,0,1243.2,1248.4,1215,1219.45,7328133,1259.9,1259.9,1233.7,1239.5,4476725,February 14th 2020
1,0.45306122448979247,0,0,0,1,0,1225,1233,1214.5,1218,5057373,1243.2,1248.4,1215,1219.45,7328133,February 17th 2020
0,0.09031198686370034,1,0,0,1,0,1216.9,1218.5,1203.5,1217.05,5222221,1225,1233,1214.5,1218,5057373,February 18th 2020
1,0.44580777096114854,0,0,1,0,0,1222.5,1230,1213.9,1227.2,4987421,1216.9,1218.5,1203.5,1217.05,5222221,February 19th 2020
1,0.22764227642275703,1,0,1,0,0,1230,1230,1214.4,1217,5376832,1222.5,1230,1213.9,1227.2,4987421,February 20th 2020
0,0.6614626129827439,1,0,1,0,0,1208.95,1212,1200,1211,8222073,1230,1230,1214.4,1217,5376832,February 24th 2020
0,0.5780346820809301,1,0,0,0,1,1204,1206.3,1198.05,1201.8,6912840,1208.95,1212,1200,1211,8222073,February 25th 2020
0,0.3577966383757625,0,0,1,0,0,1197.5,1204.3,1185.8,1201.1,6858876,1204,1206.3,1198.05,1201.8,6912840,February 26th 2020
0,0.507867787861116,1,0,0,0,1,1195,1202.35,1181,1199.65,10305862,1197.5,1204.3,1185.8,1201.1,6858876,February 27th 2020
0,2.0130871504188796,0,0,0,1,0,1175.5,1184.2,1170.1,1178.8,12095744,1195,1202.35,1181,1199.65,10305862,February 28th 2020
1,1.7830361606399059,1,0,0,0,1,1200.2,1201,1166.9,1185,7267973,1175.5,1184.2,1170.1,1178.8,12095744,March 2nd 2020
0,0.8438818565400852,0,1,0,0,1,1175,1185.35,1168.3,1182.5,10977020,1200.2,1201,1166.9,1185,7267973,March 3rd 2020
0,0.3509513742071979,1,0,0,0,1,1178.35,1179.15,1133.2,1149.15,17064961,1175,1185.35,1168.3,1182.5,10977020,March 4th 2020
1,0.33391153512575267,0,0,1,0,0,1153,1164.9,1144.85,1149.85,9698187,1178.35,1179.15,1133.2,1149.15,17064961,March 5th 2020
0,2.1611514545375354,0,0,1,0,0,1125,1140.5,1101,1133.85,11484726,1153,1164.9,1144.85,1149.85,9698187,March 6th 2020
0,2.1034528376769335,1,0,0,0,1,1110,1117.45,1065.3,1114.8,17155770,1125,1140.5,1101,1133.85,11484726,March 9th 2020
0,0.8790814495873711,0,0,0,1,0,1105,1119.85,1092.65,1110.95,17466615,1110,1117.45,1065.3,1114.8,17155770,March 11th 2020
0,3.2359692155362607,1,0,0,0,1,1075,1078.85,1003.45,1029.65,29353333,1105,1119.85,1092.65,1110.95,17466615,March 12th 2020
1,0.5169082125603741,1,0,1,0,0,1035,1036.65,995,1001.25,15945709,1075,1078.85,1003.45,1029.65,29353333,March 16th 2020
1,0.6696428571428603,1,0,0,1,0,1008,1009.8,955,976.2,21287063,1035,1036.65,995,1001.25,15945709,March 17th 2020
1,0.8934010152284233,0,0,0,1,0,985,992.5,865,898.2,30427035,1008,1009.8,955,976.2,21287063,March 18th 2020
0,5.700289467824538,1,0,1,0,0,847,918.9,795.55,905,33299765,985,992.5,865,898.2,30427035,March 19th 2020
0,3.314917127071826,1,0,1,0,0,875,914.55,825,881.25,44185864,847,918.9,795.55,905,33299765,March 20th 2020
0,9.758865248226956,0,0,1,1,0,795.25,810,738.9,774,30400602,875,914.55,825,881.25,44185864,March 24th 2020
0,0.45865633074935186,0,0,1,0,0,770.45,867.4,755.25,863.2,23388692,795.25,810,738.9,774,30400602,March 25th 2020
1,0.793012297437079,0,0,1,0,0,870.1,936.1,842.45,900.65,28442014,770.45,867.4,755.25,863.2,23388692,March 26th 2020
1,4.6880787343245744,0,1,0,1,0,944.95,988.15,872.2,900,27504114,870.1,936.1,842.45,900.65,28442014,March 27th 2020
0,2.2222222222222254,0,0,0,1,0,880,886.95,828,831,19592346,944.95,988.15,872.2,900,27504114,March 30th 2020
1,2.6704146170063225,0,0,0,1,0,853.8,873.6,838.1,857.95,17560483,880,886.95,828,831,19592346,March 31st 2020
1,0.6829889448399573,1,0,1,0,0,863.85,863.85,820,829.65,14516342,853.8,873.6,838.1,857.95,17560483,April 1st 2020
1,1.5836298932384363,1,0,0,1,0,843,843,810,811,17361468,863.85,863.85,820,829.65,14516342,April 3rd 2020
1,7.208237986270028,1,0,0,1,0,874,906.8,845.95,895.6,30006195,843,843,810,811,17361468,April 7th 2020
0,1.7474318892362617,0,0,0,1,0,879.95,944.5,866.6,888.7,28025195,874,906.8,845.95,895.6,30006195,April 8th 2020
1,2.661555312157715,0,0,1,0,0,913,930.85,890.05,924,22178655,879.95,944.5,866.6,888.7,28025195,April 9th 2020
1,1.0706638115631661,1,0,1,0,0,934,945.55,886.65,897.8,16993813,913,930.85,890.05,924,22178655,April 13th 2020
1,3.514239656098872,1,0,0,0,1,930.5,930.5,843,865,28862240,934,945.55,886.65,897.8,16993813,April 15th 2020
1,0,0,0,0,0,1,865,887.65,856.25,884.25,26813393,930.5,930.5,843,865,28862240,April 16th 2020
1,3.3606557377049207,0,0,0,1,0,915,919.95,887.3,915.1,27794714,865,887.65,856.25,884.25,26813393,April 17th 2020
1,3.7749737118822235,0,0,0,0,1,951,960,936.65,944,32829396,915,919.95,887.3,915.1,27794714,April 20th 2020
0,2.01271186440678,0,0,0,0,1,925,934,908,919,16517026,951,960,936.65,944,32829396,April 21st 2020
1,0.016319425556221567,1,0,0,0,1,919.15,932.9,907.45,929.75,19102862,925,934,908,919,16517026,April 22nd 2020
1,0.5614973262032086,1,0,1,0,0,935,958.4,913.25,953,20412583,919.15,932.9,907.45,929.75,19102862,April 23rd 2020
0,2.098635886673661,0,0,0,0,1,933,958,926.05,937,16598659,935,958.4,913.25,953,20412583,April 24th 2020
1,0.8622969898957833,0,1,0,0,1,945.15,957.2,926.5,929.95,13623451,933,958,926.05,937,16598659,April 27th 2020
